job_company,job_date,job_salary,job_title
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,IT Infra support
永磐科技股份有限公司,4/18,"月薪 35,000~55,000元",系統工程師
戰國策網路科技股份有限公司,4/18,待遇面議,WordPress & WooCommerce客製化工程師(增加收入外包接案~精通wp外掛)
保誠人壽保險股份有限公司_總公司,4/18,待遇面議,系統分析與開發人員(COBOL)
約沛科技有限公司,4/18,時薪 250~600元/小時,React Native 兼職工程師（外包 SOHO 或 兼職）
諦諾科技股份有限公司,4/18,待遇面議,Backend Engineer 後端工程師
北祥股份有限公司,4/18,"月薪 35,000~50,000元",軟體設計師(創新部門)
凌群電腦股份有限公司,4/18,待遇面議,專案經理(6G)
凌群電腦股份有限公司,4/18,待遇面議,資深軟體工程師(電信專業)
宜特科技股份有限公司,4/18,"月薪 35,000~60,000元",CIM (資深)工程師
薩摩亞商志強國際企業股份有限公司台灣分公司,4/18,待遇面議,駐東南亞資訊系統管理師(MIS)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【HW】(Sr.) Software Engineer(中和)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】SW Design Engineer(中和)-TC18014
同發安科研有限公司,4/18,待遇面議,.NET Senior Web Developers
哈瑪星科技股份有限公司,4/18,"月薪 33,000~45,000元",iOS. Android APP 程式設計師-高雄 (HN)
美商連科股份有限公司,4/18,"月薪 60,000~90,000元",軟體工程師 (Python)
同發安科研有限公司,4/18,待遇面議,客服IT工程師
信星鞋業_英屬維京群島商伯星國際股份有限公司台灣分公司,4/18,待遇面議,網管工程師
寶迅科技股份有限公司,4/18,待遇面議,多媒體視訊程式開發
圓剛科技股份有限公司,4/18,待遇面議,AI影像演算法工程師(台南)
凌群電腦股份有限公司,4/18,待遇面議,系統規劃經理(醫療-技術支援)
日月光半導體製造股份有限公司,4/18,"月薪 31,000~60,000元",技術工程類 - RF工程師【高雄】
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",系統分析師(證券)
