job_company,job_date,job_salary,job_title
白吃貓股份有限公司,4/18,"月薪 30,000~50,000元",android手機app開發工程師
威技電器股份有限公司,4/18,待遇面議,Android App 工程師
天成醫療社團法人天晟醫院,4/18,待遇面議,醫管資訊系統設計師
戰國策網路科技股份有限公司,4/18,待遇面議,wordpress客制化前端工程師
戰國策網路科技股份有限公司,4/18,"月薪 50,000~70,000元",網管主管(或資深網管工程師)
白吃貓股份有限公司,4/18,"月薪 30,000~50,000元",前端工程師
薩摩亞商志強國際企業股份有限公司台灣分公司,4/18,待遇面議,駐東南亞硬體儲備主管
"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",4/18,待遇面議,台灣電子業上市大廠   自動化軟體工程師  853
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】SW Design Engineer-UI/UX(中和)
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),4/18,待遇面議,IT Operations Systems Manager - IT Engineering Services
英屬維京群島商恮欣科技股份有限公司台灣分公司,4/18,"月薪 40,000~80,000元",韌體設計工程師
國家中山科學研究院,4/18,"月薪 37,000元",飛彈火箭研究所108年第一次定期契約(身心障礙)人力進用-4.定期契約-資訊
精誠資訊股份有限公司,4/18,待遇面議,技術經理(資安)-M121
鉅茂科技股份有限公司,4/18,"月薪 25,000~39,000元",ERP資深客服專員(台北)
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,學生實習-韌體工程師
勤謹智能有限公司,4/18,待遇面議,機器人軟體工程師
哈瑪星科技股份有限公司,4/18,待遇面議,專案經理-高雄(HN)
北祥股份有限公司,4/18,待遇面議,SQL Server資料庫管理師
永磐科技股份有限公司,4/18,待遇面議,CCIE高階網路工程師
中國醫藥大學附設醫院,4/18,待遇面議,1JZ0-人工智慧醫學影像診斷中心 研發工程師(系統與網路工程師)
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",系統分析師(台中)
POSITIVE GRID_佳格數位科技有限公司,4/18,"月薪 70,000~110,000元",資深韌體工程師/Senior Embedded Firmware Developer - MCU and RTOS
國泰綜合證券股份有限公司,4/18,待遇面議,應用系統工程師
伊雲谷數位科技股份有限公司,4/18,待遇面議,SAP Engineer/ Consultant
傅氏國際文化事業有限公司,4/18,待遇面議,程式設計開發工程師 
良友旅行社股份有限公司,4/18,"月薪 35,000~42,000元",台北-C#網站開發工程師
京麒數位科技股份有限公司,4/18,"月薪 26,000~36,000元",測試工程師
鈺立微電子股份有限公司,4/18,待遇面議,演算法開發主管
經貿聯網科技股份有限公司,4/18,待遇面議,DevOps Engineer - Fintech Lab (台北/台中)
承隆能源科技股份有限公司,4/18,待遇面議,節能事業體自動控制工程師
艾笛森光電股份有限公司,4/18,待遇面議,SAP系統主管/工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【BIOS】(Sr.) BIOS Engineer(中和)-TC18058
精聯電子股份有限公司,4/18,"月薪 40,000~55,000元",軟體專案管理師－A3701
POSITIVE GRID_佳格數位科技有限公司,4/18,待遇面議,iOS研發工程師/iOS Developer
